ID,Text,Claim_Labels,Stance_Label
0,"So knife crime's going to go up, because the evidence is there, Carla. Reduce stop-and-search, knife crime soars. No, it doesn't.","1200, 1211",1211-support
1,"Of course Gordon Brown's right to say there's a link. Michael, you know this better than we do. You know there's a link between poverty at home and underperformance in the classroom. It's that link which is holding back so many children. That's what's unfair. That link is the link that I want to help solve. We would do it partly through the tax proposals I've talked about earlier, giving people £700 back in their pocket by raising the income tax threshold to £10,000 so that people on ordinary incomes who aren't being helped at the moment are helped. And through our proposal, we call it - it's a slightly technocratic phrase - we call it a pupil premium. It basically means extra money, £2.5 billion. That would, for instance, allow our schools to reduce the average class size in an average primary school down to 20. I have three young children. Two of them go to a local school, at eight and five. I see myself as a father that what happens to a young child in a reception class, years one, two and three, is so important in developing their self-confidence, their social skills, their willingness to learn. Get it right at that early age, and we can really help people later in life. That's what I believe in.","100, 107, 1300, 1302, 600, 602, 603, 1200, 1208","107-against, 602-support, 603-support, 1302-support"
2,"You won't admit the truth, will you? The truth is there's nothing we can do.",None,None
3,"I tell you how we pay for it. We would, for instance, stop the huge unfair loopholes that only benefit the very wealthy at the top of the tax system. At the moment, the top 10% earners in this country get twice as much tax subsidy from all of the rest of you when they make contributions to their pension pot than everybody else. We say give people tax relief on their pension contributions, but make sure that they are the same and use that money so that no-one pays any income tax on the first £10,000 they earn.","100, 107, ",107-against                         
4,"You just, look, there's no point in speculating about that at the moment, cos we're a long way off taking the decision.",None,None
5,"I'm just talking numbers. We haven't even mentioned housing yet. Oh, no, I ignore that nonsense. Complete nonsense. I'm just talking pure facts. Housing. We have to build one new home every two minutes just to cope with legal net migration under this Conservative government. It is literally impossible. And as for the numbers coming in, I would respond to this. 50% of the three quarters of a million who are coming in a year are dependents. They're not wealth creators. And mass migration is making us poorer. You'll hear, oh, GDP's going up. Well, of course it is. There are more people. GDP per capita, our relative wealth, has declined for the last six consecutive quarters.","1400, 1401, 500, 529, 100, 199","1401-support, 529-against"
6,"We need strong big business in this country. We do, and one thing, can I just come in on that David? Yes, yes. But one thing I think business needs, and again this is a difference of view, I think we need to stay within the European Union. Because I think it would be a disaster for our businesses. I mean, give David Cameron credit, he believes in us staying in the EU, but I'm afraid he's being dragged by his party to exit from the EU. Now again, I've got to say to this audience, I've got to say to this audience, I think that would be a real problem for our country.","1800, 1806, 1900, 1910",1910-support
7,"have to spend money wisely. Folks, I've explained to you, we've massively increased over the last few years the percentage of the national cake we put into the NHS for a worse return. Does nobody else acknowledge we need to spend the money better?","300, 301, 100, 105","301-support, 105-against"
8,"Let me perhaps draw out one of them. David Cameron keeps repeating we've got nothing to say. We're the only party, actually, in this general election campaign who've got a plan fully costed to get people off benefits and into work. That's been independently recognised. I think it's a general... It's almost a philosophical issue here. Do you think the best way to help people who are vulnerable or poor is to constantly giving them more benefits through greater dependency on the state? Or do you provide incentives to let them help themselves where they can? That is what our very, very radical tax switch, so you keep more money when you start working, would precisely do - it would get people off that benefits dependency into work. I think that's what most people agree is the absolute priority these days.","1300, 1302, 100, 107","1302-against, 107-against"
9,"Well, we won't be able to do anything unless we win the election. We've obviously only been in opposition so far. I have been frustrated, if I'm honest, that these strikes have gone on as long as they have gone on. The strikes are very bad for patients. People are very anxious about the strikes. I don't think doctors want to be on strike. As I said earlier, my wife works in one of the big London hospitals, so I know first-hand and relayed every night, pressure that NHS staff are under. It's been unrelenting during Covid, unrelenting now because of waiting lists. So what we would do is instead of arguing about who gets in the room first to negotiate with the doctors, we would roll up our sleeves in a grown-up way, get in the room and settle this dispute so that patients can get the care they need. Doctors can get back to work, and the country can move forward, because we can't go on like this anymore. And the sooner we have a bit of grown-up politics in this, the better, I think, because we absolutely need to move forward as a country.","500, 504, 300, 325","504-against, 325-against"
10,"So Scotland has a migration problem. The problem is we don't have enough migrants because Scotland has a declining working age population. So we need people to come. And you know what? I am genuinely fed up going to speak to businesses. going to speak to health care workers, going to speak to people in our social care sector, in our schools and beyond, who say that they need more colleagues. Businesses who want to expand, who need people to come and work with them and for them. That's why I'm in favour of migration. And this race to the right that is happening in Westminster is so, so wrong. We can do better. We must demand better, not just from the Tories, but from the Labour Party too. And the SNP will always do that.","500, 529",529-support
11,The reality is the SNP can't do just the same as Tory does. On the point of the anti-austerity motion that Ed Miliband talks about...,None,None
12,I believe in making a success of Brexit.,"1900, 1910",1910-against
13,"Thank you, Julie, and everyone watching tonight. Firstly, I want to express my condolences to everyone affected by Friday's attack. This atrocity should give us all pause for thought. None of us yet know the full details, so politicians should avoid knee-jerk responses. But we do know that our justice system has been hollowed out. Violent crime is up. Our prison's in crisis. Our police overstretched. Listen to nurses and they'll say the same about our National Health Service. Teachers the same about our schools. Deep cuts to vital public services. The fabric of our communities. Happened at the same time the government made huge tax giveaways to the richest few and to big business. Labour will make very different choices. We will be on your side, rebuilding our country for the many, not the few.","1200, 1205, 1600, 1627, 100, 105,107","105-support, 107-support, 1627-support"
14,"What happened was completely wrong and the Prime Minister has rightly apologised for that, apologised to veterans but also to all of us because he was representing all of us. I'm from Portsmouth, I've also been Defence Secretary and my wish at the end of this week is that all of our veterans feel completely treasured. And I'm hoping tonight to convince you of some things that are important to them, important to their legacy. And I couldn't do that if I wasn't straight with you on that issue.","1600, 1609",1609-support
15,"I would like to see a levelling upwards when it comes to fairness, because what I'm deeply worried about is the kinds of rules, for example, that will break up families, that will end up in things like immigration detention, that has things like a minimum income rule. I think all of those are deeply unfair. Family reunion ought to be supported, so we need fair immigration rules.","500, 529, 200, 230","529-support, 230-against"
16,"No, I voted for remain. I wanted to remain, but now we've left and there's no going back. But... Sorry? No, I'm not. No, that is not our policy. Never has been our policy. I voted for remain, but we voted to leave. We're out. I accept that. We're not going back. Do you not see here... But we do need... We've got a very botched deal. If you talk to any business that's trying to trade, they will tell you it's not good enough. I think we can do more on defence and security, by the way, with our European partners. But we're not going back in. We're not going back into the single market, the customs union, and we're not going back to freedom of movement. That is very, very clear and set out in our manifesto, because we did have a referendum, it split us down the middle, and we do not want to go through that again. But you can see why.","1900, 1910, 1800, 1806","1910-support, 1806-against"
17,Tell me how you're going to balance the books.,"100, 105",105-against
18,"But you said that you had a point about the policy. I'm just telling you, I disagree with you. 15 other European countries just a few weeks ago decided that they agree with me. Did the Supreme Court call it unlawful? Well, I've been crystal clear, and that's why we've passed a new piece of legislation to address the concerns of our court, because I respect our court. They raised concerns, that's why we passed a new piece of legislation, and that's why their flights will now go if I'm Prime Minister. And when it comes to the ECHR, I am crystal clear. I believe everything that we are doing is in compliance with our international obligations, but if a foreign court, including the European Court, forces me to choose between our country's national security and membership of that court, I'm going to choose this country's national security every single time.","1900, 1926",1926-support
19,"And there'd be more refugees then, yeah?","200, 230",230-against
20,Greens holding you to account on that in the Parliament. Doing a good job.,"2000, 2011",None
21,"You voted for the Bedroom Tax nine times, are you proud about that as well?","1400, 1406",1406-support
22,"No, no, no. What I do think we need to do is we've got to provide more council housing and more social housing, but to restore people's trust, I think it has to be done by local councils and it must be for local people.","1400, 1406",1406-support
23,"I want to thank you for watching tonight. A vote for Labour is a vote for hope. We are the party that created our NHS, introduced the minimum wage and will end NHS privatisation, introduce a living wage of at least £10 an hour and end the scandalous crisis in social care that leaves 1.5 million older people without the care they need. A Labour government will support you and invest in your community. We are on your side. Let's bring real change to our country so that it works for the many, not the few. Vote Labour on the 12th of December.","300, 301, 1300, 1303","301-support, 1303-support"
24,"You've just admitted, if the population's growing by 2.5 million people in the last three years alone, you haven't got a labour shortage. You've got to make work pay, you've got to train your own people. We haven't got a people shortage. There's no labour shortage. Does anyone else agree there's no labour shortage? We haven't got a people shortage, but too many people, work doesn't pay.","500, 529",529-against  
25,"Plaid Cymru want to build 10,000 new affordable houses over the next 10 years. But we also want to make owning and running a household more affordable. So we want to create a Welsh energy company, Ynni Cymru, that will allow us to use Welsh natural resources to bring down the cost of energy for families and houses across Wales. We want to scrap the cruel and unnecessary bedroom tax. And we want to scrap letting agency fees so that it's cheaper to rent.","1400, 1406, 800, 806","1406-support, 806-support"
26,"But, Nick, The Institute of Fiscal Studies that you were quoting a few minutes ago says that your proposals for financing your tax cuts are highly speculative, they don't know how you'e going to get the money. That's what they say about your proposals. They're not thought out, you're too big a risk on the economy, just like David is. We are trying to get people back to work in difficult situations, low inflation, low interest rates, get the economy moving, don't take money and shrink the economy now. That's the way to get people back to work.","100, 101,  103, 107","101-support, 107-support"
27,"Well, the truth is that trust has absolutely collapsed in politicians, because people are sick and tired of politicians promising things and then not delivering. And we saw that with Labour Party manifestos. We saw it with the referendum, of course, when the £9 million Conservative government leaflet promised to carry out the will of the people, and it's not yet been done. We have to get it done, and after that, trust can start to be rebuilt.","2000, 2012",2012-against
28,"Well, Carly, politics is about choices. So inevitably, people will have differing views. And the electors decide who they want to carry out that policy for the next four or five years. But I did in a previous question talk about the National Health Service. There are areas where it seems everybody wants the same thing. And when it comes to resolving the care crisis, when it comes to the National Health Service being free at the point of delivery, there is actually quite broad agreement across all the parties. So there should be areas in which parties can work together. Whilst everybody here agrees on climate change, I've got a slight issue with that, in that what we're doing is putting a lot of people out of work and making the poor give lots of money to the rich. Yes, we want a cleaner planet, but I don't think the way we're currently doing it is right. So there'll always be disagreement.","300, 399, 700, 705",705-against
29,"Well it's possibly the question that is uppermost in everybody's mind right now and of course all of our thoughts remain with those affected by that horrific and cowardly attack in the centre of London on Saturday night and of course with the people of Manchester as well. This is one of the greatest responsibilities for any politician. and I think the first thing politicians need to do is be honest. There are no easy answers and often the knee-jerk responses are the wrong ones. Firstly, we've got to tackle and address and challenge extremism wherever we find it. And I believe very strongly that we have to do that with the Muslim community. We mustn't scapegoat the Muslim community, because it's wrong. Most Muslims are as appalled at these attacks as the rest of us. But it would also be counterproductive. because we're going to find it easier to root out extremism if we're working in partnership with that community. Secondly, we've got to make sure we invest in our security and intelligence services, and we've got to make sure we invest in our police. Obviously, one of the big issues of debate today has been the reduction in police numbers in England, 20,000 fewer police officers. In Scotland, we've maintained police numbers and we've increased the numbers of police officers who are trained to bear firearms. So after the Manchester attack, Police Scotland was able to have an increased level of policing from within its own resources without calling on the military, although we're very grateful for the offer of help from the military. So these are the things we've got to do. Two final points I would make are these. I've made one of them already about not scapegoating particular communities. But secondly, we must make sure that in our determination, and all of us share it to keep the population safe, we don't start to undermine our own freedoms and civil liberties, because these are part of what makes us who we are.","200, 201, 208, 1600, 1627, 1200, 1209","201-support, 208-support, 1209-support, 1627-support"
30,"Well, absolutely right. The gentleman has got it nailed on the head. I mean, north of England is the most disenfranchised part of the United Kingdom. Look, I want Scotland to be independent. I'm not here to advocate for Yorkshire independence. I'll leave you to do that if you wish. But look, I absolutely see the benefit that Scotland has had, even with the limited powers of devolution that we have. So yes, of course, the people of northern England, I think, have been the most disenfranchised. I just want to touch upon one or two things that were said by Katrina, and I think the question was exceptionally important. We're believers in a proportional system. In Scotland we have a hybrid proportional system which works well in the Scottish Parliament. It's designed not to have a majority. There's only been one majority in the history of devolution and that's because we literally broke the system. But it's never been, it's not designed for a majority and it forces the SNP, who's the government at the moment, to work with other parties to find a compromise. So we definitely would support that. Also support, I should say, the abolition of the House of Lords. We've never taken a peerage, never ever will.","2000, 2001, ",2001-support
31,"Charlotte, you're right. We've got to live within our means as a country. And that's why under my plan, we'll cut the deficit every year and we'll balance the books. But we'll do it a different way from David Cameron. And I reject his plan to double the spending cuts next year, because I think for you and so many people in this audience who rely on our NHS, that would be a disaster. So here's our plan. Our plan is to have fair taxes, to reverse David Cameron's tax cut for millionaires, which has given every millionaire in Britain £43,000 a year. It's to clamp down on that tax avoidance and raise seven and a half billion pounds a year. It's to protect education and health. But outside some key areas like that, to see spending fall. And it's also about something else. Because by raising living standards of working people in this country, we can get more tax revenues in, and we can get the deficit down. It's a fair plan. It's a better plan. A better plan from David Cameron's carrying on as he is.","100, 105, 107","105-against, 107-support"
32,Yes.,None,None
33,"Look, what I'm being really clear to people about is that I want to make sure we maximise the Liberal Democrat number of MPs. We're basically going to beat lots of Conservative MPs, I hope, a few in Scotland, a few SNP MPs, but I'm determined to focus in on that. I've been in politics... OK, so that's not a question you're going to answer, just to be clear. Well, I'll explain why, Fiona. I've been in politics a little while. I've seen a lot of Lib Dem leaders. And sometimes they focus on what happens after the election. And I've noticed that when they do that, they don't focus on the job in hand, which is trying to win local champions and Liberal Democrats across the country. And I'm going to try and do that.","2000, 2012",2012-support
34,"And we have, not they do have problems, but what they don't have are the alternative systems for people to make use of. All the indications show that the public will use public transport, if it's reliable, if it's affordable, and if it's safe. There wasn't adequate alternative methods of transportation in both those cities at the time. The ground work could not be done. Contrast and compare.","1000, 1001",1001-support
35,"No, and look, his sums don't add up. But what I would say to Charlotte and the audience here, and indeed at home, is you've got to make a judgment about two things in this debate, balance and fairness. Look, I think there's some people on the stage who'll say there don't have to be any cuts at all. There'll be some people like Nigel who wants to follow David Cameron's extreme plan to double the cuts next year, which I think will be a disaster for our public services. And then this question of fairness. Look, Nigel actually wants to cut the top rate of income tax even further for the highest earners in our country, another £43,000 tax cut. Now, I just have a different view about the way a country succeeds. I think this idea that you just help the rich and powerful and the wealth will trickle down to everyone else is not the answer. You put working people first. So think about these two things as you cast your vote and make your decision. Balance and fairness. I believe ours is a balanced plan and a fair plan. ","100, 105, 107","105-support, 107-support"
36,,"100, 101",101-support
37,,None,None
38,,"300, 325, 500, 529","325-support, 529-support"
39,,None,None
40,,"1900, 1920",1920-against
41,,"300, 301, 334",301-support
42,,"2000, 2012",2012-against
43,,"300, 334, 332, 100, 107",107-support
44,,None,None
45,,None,None
46,,"300, 301",None
47,,None,None
48,,"2000, 2001, 1900, 1910","2001-support, 1910-support"
49,,"600, 601",601-support
50,,None,None
51,,"1900, 1926",1926-support
52,,"100, 107",
53,,None,None
54,,"2000, 2011",2011-against
55,,"100, 107",107-support
56,,"1900, 1930",1930-support
57,,None,None
58,,None,None
59,,"100, 105",105-against 
60,,"100, 105, 1600, 1603","105-support, 1603-support"
61,,"300, ",None
62,,"600, 602",602-support
63,,"1400, 1401, 1300, 1302","1401-support, 1302-support"
64,,"500, 505, 1900, 1910","1910-support, 505-support"
65,,"1600, 1610, 100, 107, 500, 503","1610-against, 107-support"
66,,"2000, 2012, 1900, 1910","2012-against"
67,,"100, 107, 600, 601","107-support, 601-support"
68,,None,None
69,,"200, 230",230-against 
70,,"1900, 1910, 500, 529, 200, 201","529-support, 201-support, 1910-against"
71,,"700, 701, 800, 803",803-against 
72,,"1500, 1501, 100, 105, 1600, 1610","105-against, 1610-support, 1501-support"
73,,"1300, 1303, 300, 301, 500, 502","1303-support, 301-support, 502-support"
74,,"1300, 1302",1302-against
75,,"100, 105, 107",105-against
76,,"2000, 2012",2012-support
77,,"200, 230, 1600, 1608, 1200,, 1208","1608-support, 230-against"
78,,"100, 107, 1400, 1410","107-against, 1410-support"
79,,None,None
80,,"100, 105, 107","105-against, 107-support"
81,,"1200, 1209, 300, 325, 600, 602","1209-support, 325-support, 602-support"
82,,"100, 107",107-support
83,,"1600, 1627, 1200, 1209, 1900, 1920","1209-support, 1920-against, 1627-against"
84,,"200, 230, 1400, 1401","230-against, 1401-support"
85,,"200, 230, 100, 107, 1400, 1410","107-against, 230-against" 
86,,"200, 230",230-against 
87,,"1400, 1406, 100, 105, 300, 325","1406-support, 105-support, 325-support"
88,,"1900, 1930, 700, 705","1930-against, 705-support"
89,,"100, 108",108-support
90,,"100, 105",105-support
91,,"1900, 1930, 1926","1930-against, 1926-support"
92,,"2000, 2012",2012-support
93,,"1600, 1610, 1900, 1920","1610-against, 1920-against "
94,, None , None 
95,,"1900, 1920, 1930, 1910","1910-support, 1920-support, 1930-against"
96,,"100, 105",105-against
97,,"2000, 2012",2012-support
98,,"600, 601, 603","601-support, 603-support"
99,,"1900, 1910",1910-support
100,,None,None
101,,"2000, 2032",2032-against
102,,"100, 107",107-against 
103,,"1900, 1901",1901-against
104,,"100, 105, 600, 601, 300, 301","105-support, 601-support, 301-support"
105,,None,None
106,,"100, 107",107-against 
107,,"300, 325",325-support
108,,None,None
109,,"300, 331, 325",325-support 
110,,"1900, 1920",1920-against
111,,"500, 529",529-support 
112,,None,None
113,,None,None
114,,None,None
115,,"2000, 2001",2001-support 
116,,"600, 601, 603, 1400, 1401","601-support, 603-support, 1401-support"
117,,None,None
118,,"200, 202",202-support
119,,"300, 301",301-support
120,,"1300, 1303, 1600, 1609","1303-support, 1609-support"
121,,"1900, 1920",1920-against
122,,"200, 201, 202, 1200, 1209","201-support, 202-support, 1209-support"
123,,"100, 105",105-against 
124,,"1900, 1910",1910-against
125,,None,None
126,,None,None
127,,"100, 105",105-support
128,,"100, 107",107-support
129,,"200, 230",230-against
130,,"1000, 1005, 1006","1005-support, 1006-against"
131,,"200, 230, 1900, 1901","230-against, 1901-support"
132,,"100, 105",105-support
133,,"1300, 1303",1303-against
134,,"1600, 1610",1610-against
135,,"2000, 2001",2001-support 
136,,"200, 230, 1900, 1910","230-against, 1910-support"
137,,"100, 107, 200, 230, 500, 505, 529 ","107-support, 529-support, 505-support"
138,,"100, 107, 1300, 1302","107-support, 1302-support"
139,,"2000, 2012",2012-support
140,,"700, 705",705-support
141,,None,None
142,,None,None
143,,None,None
144,,"1900, 1910",None
145,,"1000, 1002, 500, 508","508-support, 1002-support"
146,,"1900, 1909, 1910, 1920, 1930, 1600, 1627","1909-support, 1910-support, 1920-against, 1930-against, 1627-support"
147,,"1200, 1211",1211-against
148,,None,None
149,,"1200, 1205, 1211","1205-support, 1211-support"
150,,"100, 107",107-against 
151,,"1200, 1209, 1211","1209-support, 1211-support"
152,,None,None
153,,"1900, 1909",1909-support
154,,None,None
155,,"800, 806",806-support
156,,None,None
157,,"100, 107",107-support
158,,"1900, 1910, 2000 2001","2001-against"
159,,"500, 504, 300, 301","504-support, 301-support"
160,,None,None
161,,"500, 502",502-support
162,,"1600, 1627, 1603, 1900, 1910, 1200, 1209","1603-support, 1627-support, 1910-support, 1209-support"
163,,"1200, 1209, 1211","1209-support, 1211-support"
164,,None,None
165,,"200, 230",230-against
166,,None,None
167,,None,None
168,,"1900, 1926",1926-support
169,,"1600, 1610",1610-against
170,,"1900, 1910",None
171,,"200, 230, 500, 529","230-against, 529-support"
172,,"100, 105",105-support 
173,,"300, 301",301-support
174,,"1300, 1303",1303-support
175,,"1400, 1410",1410-support
176,,"100, 107, 1500, 1521, 1800, 1803","107-against, 1521-support"
177,,"1900, 1910",1910-against
178,,"100, 105",105-against 
179,,"1900, 1910, 1800, 1803",1910-against
180,,"1900, 1920",1920-against
181,,"100, 105",105-against 
182,,"700, 705, 800, 807, 1000, 1001, 1006","705-support, 807-support, 1001-support, 1006-against"
183,,"1400, 1401",1401-support
184,,"200, 202",202-support
185,,"100, 105",105-against 
186,,"100, 107",107-against 
187,,"2000, 2012, 1200, 1211","2012-against, 1211-against"
188,,"2000, 2001, 2012","2001-support, 2012-against"
189,,"1900, 1910",1910-against
190,,"1900, 1910, 600, 602, 300, 301","301-support, 602-support, 1910-support"
191,,"100, 105",105-against
192,,"500, 505",None
193,,"100, 107",107-against 
194,,"100, 105, 107","105-against, 107-support"
195,,"100, 107",107-support
196,,"600, 602, 606, 1300, 1302","602-support, 606-support, 1302-support"
197,,None ,None 
198,,None ,None 
199,,"300, 301, 100, 108","301-support, 108-support"
200,,"1900, 1926",1926-support
201,,"300, 325",325-support
202,,None ,None 
203,,"100, 101, 107, 1400, 1410, 200, 230, 700, 705","101-support, 107-against, 1410-support, 230-against, 705-support"
204,,"100, 107",107-against 
205,,"2000, 2001",2001-against 
206,,None ,None 
207,,"1900, 1910",1910-against
208,,None ,None 
209,,"100, 105, 107","105-against, 107-against "
210,,"1300, 1303",None 
211,,"1800, 1803",1803-against
212,,"100, 105, 1200, 1211, 1600, 1627","105-support, 1211-support, 1627-support"
213,,None ,None 
214,,None ,None 
215,,"1400, 1409",1409-support
216,,"600, 602",602-support
217,,"1500, 1521",1521-support 
218,,"1300, 1303",1303-support
219,,"100, 108, 1900, 1910","108-against, 1910-against"
220,,"1300, 1302",1302-support
221,,"300, 331, 1900, 1909, 100, 107, 200, 230, 700, 705","107-against, 230-against, 331-support, 705-support, 1909-support"
222,,"2000, 2001, 100, 105, 1900, 1930, 500, 503","2001-support, 105-support, 1930-against, 503-support"
223,,"700, 703, 705",705-support
224,,"300, 325, 100, 107","325-support, 107-support"
225,,"300, 325",325-support 
226,,"300, 325",325-support
227,,"1900, 1910, 1800, 1803","1910-against, 1803-support"
228,,"100, 108, 700, 705","108-support, 705-support"
229,,"1900, 1926, 700, 705, 1600, 1610","1926-support, 705-support, 1610-support"
230,,"1900, 1910",1910-support 
231,,None ,None 
232,,None ,None 
233,,"200, 230, 500, 529","230-against, 529-against"
234,,"2000, 2012, 1300, 1302, 1303","2012-against, 1302-support, 1303-support"
235,,"1200, 1208, 200, 202, 500, 508","202-support, 508-support"
236,,None ,None 
237,,"1900, 1910, 200, 230, 500, 529","1910-against, 230-against, 529-against"
238,,None ,None 
239,,"300, 325, 100, 105","325-support, 105-support"
240,,None ,None 
241,,"300, 301",301-support
242,,"1200, 1206, 1211","1206-against, 1211-against"
243,,"200, 230",230-against 
244,,None ,None 
245,,"100, 103, 105, 600, 604","105-support, 604-support"
246,,"100, 107",None
247,,None ,None 
248,,None ,None 
249,,"100, 107, 1300, 1303","107-support, 1303-support"
250,,None ,None 
251,,"500, 503, 100, 107","503-support, 107-support"
252,,"1400, 1410",1410-support 
253,,"100, 105",105-support
254,,"2000, 2001, 100, 105","2001-support, 105-support"
255,,"1300, 1303, 500, 503","1303-against, 503-against"
256,,"2000, 2012",2012-against
257,,"1900, 1910, 300, 301, 100, 107","1910-support, 301-support, 107-support"
258,,"1900, 1910, 1930, 300, 325, 500, 529","1910-support, 1930-against, 325-support, 529-support"
259,,"1900, 1910, 1500, 1521","1910-support, 1521-support"
260,,None ,None 
261,,"2000, 2012",2012-support
262,,"300, 301, 325, 100,105, 600, 602","301-support, 325-support, 105-support, 602-support"
263,,"2000, 2012, 1900, 1910","2012-support, 1910-support"
264,,"1400, 1401, 1410, 100, 107","1401-support, 1410-support, 107-against"
265,,"1900, 1910",None 
266,,"500, 508, 1300, 1303, 600, 601","508-support, 1303-support, 601-support"
267,,"1400, 1406, 1300, 1303","1406-support, 1303-against"
268,,"200, 230, 500, 529","230-against, 529-against"
269,,"100, 103, 105, 1900, 1930, 1910","105-support, 1930-against, 1910-against"
270,,"1200, 1207",None 
271,,"1900, 1910",1910-against
272,,None ,None 
273,,None ,None 
274,,"700, 705, 1200, 1202","705-support, 1202-support"
275,,"1800, 1803, 1900, 1910, 500, 529","1910-support, 529-support"
276,,"100, 107, 1400, 1410","107-against, 1410-support"
277,,"1900, 1930, 1600, 1610, 1900, 1926","1930-against, 1610-support, 1926-support"
278,,"100, 107",107-against 
279,,"1900, 1920",1920-support
280,,"200, 230",230-against 
281,,"200, 230",230-against 
282,,None ,None 
283,,None ,None 
284,,"700, 705",705-support 
285,,"1600, 1608",1608-support 
286,,"600, 601, 100, 107, 500, 505","601-support, 107-support, 505-support"
287,,"200, 207, 202, 500, 508","202-support, 207-support, 508-support"
288,,"200, 230",None
289,,"500, 504",None 
290,,None ,None 
291,,"1900, 1910, 2000, 2012","1910-against, 2012-against"
292,,"1600, 1627",1627-against
293,,"1600, 1608, 1900, 1920","1608-support, 1920-against"
294,,None ,None 
295,,"1600, 1610, 1608","1610-against, 1608-against"
296,,"200, 230",230-against
297,,None ,None 
298,,"1900, 1910",None
299,,None ,None 
300,,"1200, 1205, 1600, 1627","1205-support, 1627-support"
301,,"1900, 1910, 1800, 1803","1803-support, 1910-support"
302,,"100, 107",107-against
303,,"1300, 1302, 500, 502","1302-against, 502-support"
304,,"200, 230",230-against
305,,"2000, 2011",2011-against
306,,"100, 101",101-support
307,,"600, 602, 100, 105, 300, 301, 1200, 1211","602-support, 105-support, 301-support, 1211-support"
308,,"300, 301",301-support 
309,,"400, 401, 700, 705","401-support, 705-support"
310,,"1200, 1207",None 
311,,"200, 230, 1900, 1926","230-against, 1926-support"
312,,"1300, 1303, 1302","1303-against, 1302-support"
313,,"1300, 1302, 500, 506, 1400, 1401","1302-against, 506-support, 1401-support"
314,,"100, 107, 2000, 2012","107-against, 2012-support"
315,,"600, 601, 604, 1200, 1208","601-against, 604-support"
316,,"100, 107, 105","105-support, 107-against"
317,,"200, 230",230-against 
318,,"300, 301, 325",301-support
319,,None ,None 
320,,None ,None 
321,,"1900, 1910, 200, 230",230-support
322,,"1300, 1303, 500, 506","506-support, 1303-support"
323,,"100, 101, 700, 705","101-support, 705-support"
324,,None ,None 
325,,"100, 107, 500, 503","107-against, 503-against"
326,,"1600, 1608",1608-support
327,,"300, 325, 500, 529, 100, 105","325-support, 529-support, 105-support"
328,,"1300, 1305",1305-against
329,,None ,None 
330,,"300, 325",325-support
331,,"1400, 1401, 200, 230","1401-support, 230-against"
332,,"500, 505",505-support
333,,"1900, 1910",1910-support 
334,,"500, 529",529-support 
335,,"200, 230",None 
336,,"100, 105, 1300, 1302","105-support, 1302-support"
337,,None ,None 
338,,"1200, 1205",1205-support
339,,"300, 301, 325","301-support, 325-support"
340,,"100, 105, 200, 207, 800, 803","105-support, 207-support, 803-against"
341,,"200, 230",230-against  
342,,"300, 301",None
343,,"1400, 1406",1406-support
351,,"800, 801, 803, 806","801-support, 803-against, 806-support"
361,,"1900, 1910, 1909, 1911, 1600, 1608, 1609","1608-support, 1609-support, 1909-against, 1910-against, 1911-against"
388,,"400, 401, 700, 709","401-support, 709-support"
394,,"1600, 1610, 1900, 1907, 1920",1610-support
404,,"100, 108, 1200, 1209","108-support, 1209-support"
416,,"200, 201, 1900, 1910, 1500, 1524","201-support, 1524-support, 1910-support"
429,,"300, 321",321-support
432,,"100, 105, 108, 1300, 1305","105-support, 108-support"
447,,"100, 104, 2000, 2012","2012-support, 104-support"
455,,"1300, 1302, 1304","1302-support, 1304-support"
484,,"1200, 1205",1205-against
624,,"400, 408, 1900, 1910",1910-against
628,,"1200, 1203, 300, 344","1203-support, 344-support"
671,,"1200, 1206, 100, 105, 200, 201","105-support, 201-support, 1206-against"
737,,"700, 705, 800, 805, 807","705-support, 805-against, 807-support"
748,,"1000, 1003, 1005, 700, 705","705-support, 1003-against, 1005-against"
998,,"100, 105, 1600, 1608, 1400, 1407","105-support, 1608-support, 1407-support"
1222,,"300, 344","344-against"
1361,,"100, 105, 1200, 1202, 700, 705","105-support, 705-support, 1202-support"
1420,,"1200, 1202, 1209, 1211","1202-support, 1209-support, 1211-support"
1426,,"100, 103, 1200, 1207, 1900, 1910, 500, 506",1910-support
1756,,"1200, 1207",
2601,,"1900, 1910, 400, 406, 200, 202, 230","1910-against, 406-support, 202-support"
3070,,"1000, 1006",1006-support
3356,,"2000, 2032, 1200, 1208",2032-support
