id,supercategories,claim_labels
0,[1200],"[1200, 1206, 1211]"
1,"[100, 200]","[100, 107, 200, 201]"
2,[],[]
3,[100],"[100, 105, 107]"
4,[],[]
5,"[100, 1400]","[100, 200, 230, 1400, 1401]"
6,"[100, 1900]","[100, 107, 1900, 1910]"
7,[100],"[100, 105]"
8,"[500, 1300]","[500, 504, 1300, 1302]"
9,[300],"[300, 301, 331]"
10,"[500, 1300]","[500, 529, 1300, 1303]"
11,[100],[100]
12,[],[]
13,"[100, 1200, 1300]","[100, 103, 1200, 1205, 1300, 1302]"
14,[],[]
15,"[100, 200]","[100, 107, 200, 201]"
16,[1900],"[1900, 1910]"
17,[100],"[100, 105]"
18,"[1900, 100]","[100, 105, 1900, 1926]"
19,[200],"[200, 230]"
20,[],[]
21,"[1400, 1300]","[1300, 1302, 1400, 1401]"
22,"[100, 1300]","[100, 108, 1300, 1302]"
23,"[100, 1300]","[100, 108, 1300, 1303]"
24,[500],"[500, 502, 503]"
25,"[400, 1400, 100]","[100, 107, 400, 401, 1400, 1401]"
26,[100],"[100, 103, 105]"
27,[2000],"[2000, 2012]"
28,"[100, 700]","[100, 105, 700, 705]"
29,[1600],"[1600, 1627]"
30,"[200, 1000]","[200, 230, 1000, 1001]"
31,[100],"[100, 105, 107]"
32,[],[]
33,"[100, 200]","[100, 107, 200, 201]"
34,[1000],"[1000, 1005]"
35,[100],"[100, 105, 107]"
36,[100],"[100, 101]"
37,[],[]
38,"[100, 1300]","[100, 105, 1300, 1303]"
39,[],[]
40,[],[]
41,[300],"[300, 301, 325]"
42,[],[]
43,[100],"[100, 105]"
44,[],[]
45,[],[]
46,[],[]
47,[100],[100]
48,"[1900, 2000]","[1900, 1909, 2000, 2012]"
49,[600],"[600, 601]"
50,[2000],"[2000, 2012]"
51,[1900],"[1900, 1920]"
52,"[2000, 100]","[100, 105, 2000, 2012]"
53,[],[]
54,[2000],[2000]
55,[100],"[100, 107]"
56,[],[]
57,[],[]
58,[],[]
59,[100],"[100, 105]"
60,[1600],"[1200, 1209, 1600, 1603]"
61,[],[]
62,[600],"[600, 602]"
63,"[100, 1300]","[100, 108, 1300, 1303]"
64,"[100, 1300]","[100, 105, 1300, 1303]"
65,[100],"[100, 105, 107]"
66,[2000],"[2000, 2012]"
67,"[100, 1300]","[100, 105, 1300, 1303]"
68,[100],"[100, 103]"
69,[200],"[200, 230]"
70,"[500, 100]","[100, 105, 500, 529]"
71,[700],"[700, 701, 1900]"
72,"[100, 2000]","[100, 105, 2000, 2012]"
73,"[1300, 100]","[100, 105, 1300, 1303]"
74,[100],"[100, 105]"
75,[100],"[100, 107]"
76,[],[]
77,"[1600, 1300]","[1300, 1303, 1600, 1603]"
78,"[100, 1400]","[100, 107, 1400, 1410]"
79,[],[]
80,[100],"[100, 105, 107]"
81,[100],"[100, 104]"
82,[],[]
83,"[1200, 100]","[100, 105, 1200, 1202, 1209]"
84,"[200, 100]","[100, 105, 200, 230]"
85,[100],"[100, 107]"
86,[200],"[200, 230]"
87,"[100, 1300, 300]","[100, 105, 300, 301, 1300, 1302]"
88,[700],"[700, 705]"
89,[300],"[100, 108, 300]"
90,"[100, 1300]","[100, 107, 1300, 1303]"
91,"[1600, 1900]","[1600, 1603, 1900, 1920]"
92,[],[]
93,"[1600, 1300]","[1300, 1303, 1600, 1610]"
94,"[500, 1300]","[500, 504, 1300, 1303]"
95,[1600],"[1600, 1608]"
96,[100],"[100, 105]"
97,[600],"[600, 601]"
98,[600],"[600, 601]"
99,"[100, 1900]","[100, 105, 1900, 1910]"
100,[],[]
101,[],[]
102,"[100, 1300]","[100, 107, 1300, 1303]"
103,[],[]
104,"[100, 1300, 600]","[100, 105, 600, 601, 1300, 1303]"
105,[],[]
106,[100],"[100, 105]"
107,[300],"[300, 301, 325]"
108,[],[]
109,"[100, 300]","[100, 105, 300, 301, 325]"
110,[1900],"[1900, 1920]"
111,"[100, 300]","[100, 105, 300, 301]"
112,[100],[100]
113,[],[]
114,[],[]
115,[2000],"[2000, 2001]"
116,"[600, 1400]","[600, 601, 603, 1400, 1401]"
117,[],[]
118,[200],"[200, 201]"
119,[300],"[300, 301]"
120,"[1300, 100]","[100, 105, 1300, 1303]"
121,"[1900, 1600]","[1600, 1603, 1900, 1920]"
122,[200],"[200, 201]"
123,[100],"[100, 105, 107]"
124,"[1900, 100]","[100, 105, 1900, 1910]"
125,[],[]
126,[],[]
127,[100],"[100, 105]"
128,[100],"[100, 107]"
129,[200],"[200, 230]"
130,"[100, 1000]","[100, 108, 1000, 1001]"
131,[1900],"[1900, 1901]"
132,"[100, 1300]","[100, 105, 1300, 1302]"
133,[1300],"[1300, 1303]"
134,[],[]
135,[200],"[200, 230]"
136,"[100, 1900]","[100, 107, 1900, 1901]"
137,"[100, 200, 500]","[100, 107, 200, 201, 500, 503]"
138,[100],"[100, 107]"
139,[300],[300]
140,"[100, 1300]","[100, 105, 1300, 1302]"
141,[],[]
142,[],[]
143,[],[]
144,"[100, 1900]","[100, 107, 1900]"
145,"[100, 1300]","[100, 105, 1300, 1303]"
146,[1900],"[1900, 1920]"
147,"[1200, 1600]","[1200, 1202, 1600, 1627]"
148,[],[]
149,"[1200, 1600]","[1200, 1205, 1209, 1600, 1627]"
150,[100],"[100, 103, 105]"
151,[1200],"[1200, 1209]"
152,[],[]
153,[1900],"[1900, 1926]"
154,[],[]
155,[800],"[800, 806]"
156,[],[]
157,"[100, 1300]","[100, 107, 1300, 1302]"
158,"[1900, 100]","[100, 105, 1900, 1910]"
159,[300],"[300, 301, 331]"
160,[],[]
161,"[100, 1300]","[100, 103, 1300, 1302]"
162,"[1200, 1900]","[1200, 1202, 1209, 1900]"
163,"[100, 1200]","[100, 105, 1200, 1209]"
164,[],[]
165,[200],"[200, 230]"
166,[],[]
167,[],[]
168,[1900],"[1900, 1930]"
169,"[1600, 1900]","[1600, 1610, 1900, 1926]"
170,[1900],"[1900, 1910]"
171,"[100, 200]","[100, 105, 200, 201]"
172,[100],"[100, 105]"
173,[600],"[600, 603]"
174,"[100, 1300]","[100, 105, 1300, 1303]"
175,[1400],"[1400, 1401]"
176,"[100, 500]","[100, 108, 500, 502]"
177,[],[]
178,[1300],"[1300, 1303]"
179,"[1800, 1900]","[1800, 1803, 1900, 1910]"
180,[1900],"[1900, 1926]"
181,[100],"[100, 105]"
182,[700],"[700, 705]"
183,"[100, 1400]","[100, 105, 1400, 1401]"
184,[200],"[200, 207]"
185,[100],"[100, 105, 107]"
186,[100],"[100, 107]"
187,[200],"[200, 207]"
188,[2000],"[2000, 2012]"
189,[],[]
190,"[100, 200, 1900]","[100, 105, 200, 201, 1900, 1910]"
191,[300],"[300, 301, 331]"
192,[300],[300]
193,[100],"[100, 107]"
194,[100],"[100, 105, 107]"
195,[100],"[100, 107]"
196,[600],"[600, 602, 603]"
197,[],[]
198,[],[]
199,"[100, 300]","[100, 103, 300, 325]"
200,[1900],"[1900, 1927]"
201,[],[]
202,[],[]
203,"[100, 100, 100, 100]","[100, 103, 105, 107]"
204,[100],"[100, 107]"
205,[],[]
206,[1900],"[1900, 1926]"
207,[],[]
208,[],[]
209,[100],"[100, 105]"
210,[],[]
211,[1800],"[1800, 1803]"
212,"[100, 1200]","[100, 105, 1200, 1209, 1211]"
213,[1200],"[1200, 1209]"
214,[],[]
215,"[1300, 500]","[500, 508, 1300, 1302]"
216,[600],"[600, 602]"
217,[100],"[100, 108]"
218,[1300],"[1300, 1303]"
219,"[100, 300]","[100, 107, 300, 301]"
220,[],[]
221,"[100, 1300]","[100, 105, 1300, 1303]"
222,"[200, 100]","[100, 105, 200, 201]"
223,[700],"[700, 701, 705, 709]"
224,"[100, 300]","[100, 108, 300, 301]"
225,[300],"[300, 325, 331]"
226,"[100, 500]","[100, 103, 500, 508]"
227,"[100, 1900]","[100, 105, 1900, 1901]"
228,"[100, 300]","[100, 105, 300, 301]"
229,[1900],"[1900, 1926]"
230,[200],"[200, 230]"
231,[100],[100]
232,[],[]
233,"[1900, 500]","[500, 503, 529, 1900]"
234,"[100, 1300]","[100, 107, 1300, 1303]"
235,"[300, 500]","[300, 301, 500, 508]"
236,[],[]
237,"[1900, 200]","[200, 230, 1900, 1910]"
238,[],[]
239,"[100, 300]","[100, 103, 105, 300, 301]"
240,[],[]
241,"[300, 500]","[300, 301, 500, 504]"
242,[1200],"[1200, 1209, 1211]"
243,[200],"[200, 230]"
244,[],[]
245,"[500, 100, 1300]","[100, 105, 500, 502, 1300, 1302]"
246,"[100, 800]","[100, 107, 800, 806]"
247,[1300],[1300]
248,[],[]
249,[100],"[100, 107]"
250,[],[]
251,[1300],"[1300, 1304]"
252,"[100, 1400]","[100, 107, 1400, 1401]"
253,[100],"[100, 105]"
254,[100],"[100, 105]"
255,"[100, 1300]","[100, 105, 1300, 1303]"
256,[100],"[100, 105]"
257,[100],"[100, 105]"
258,[300],"[300, 325, 331]"
259,"[1900, 100]","[100, 105, 1900, 1910]"
260,[],[]
261,[100],[100]
262,[300],"[300, 301, 331, 1300, 1303]"
263,"[100, 1900]","[100, 105, 1900, 1901]"
264,[1400],"[1400, 1401, 1410]"
265,[1900],"[1900, 1910]"
266,"[100, 600]","[100, 105, 600, 603]"
267,"[1300, 1400]","[1300, 1304, 1400, 1401]"
268,"[200, 500]","[200, 230, 500, 505]"
269,[100],"[100, 103]"
270,[200],"[200, 207]"
271,[1900],"[1900, 1910]"
272,[],[]
273,[],[]
274,"[1900, 100]","[100, 105, 1900]"
275,[1900],"[1900, 1910]"
276,"[100, 1400]","[100, 107, 1400, 1410]"
277,"[1900, 1600]","[1600, 1610, 1900, 1920]"
278,[100],"[100, 107]"
279,[1900],"[1900, 1920]"
280,[200],"[200, 230]"
281,[500],"[500, 529]"
282,[],[]
283,[],[]
284,"[700, 1900]","[700, 705, 1900, 1901]"
285,[1600],"[1600, 1610]"
286,"[100, 600]","[100, 105, 600, 601]"
287,"[200, 100]","[100, 105, 200, 201, 207]"
288,[200],"[200, 201]"
289,[],[]
290,[],[]
291,"[1900, 100]","[100, 105, 1900, 1910]"
292,"[1200, 1600]","[1200, 1202, 1600, 1627]"
293,"[1600, 1900]","[1600, 1610, 1900, 1920]"
294,[],[]
295,"[1600, 100]","[100, 105, 1600, 1610]"
296,[1900],"[200, 230, 1900]"
297,[],[]
298,[100],"[100, 105]"
299,[],[]
300,[1200],"[1200, 1205]"
301,[1900],"[1900, 1910]"
302,[100],"[100, 107]"
303,"[1300, 500]","[500, 502, 1300, 1302]"
304,[200],"[200, 230]"
305,[2000],"[2000, 2012]"
306,[100],[100]
307,[600],"[600, 602]"
308,[300],"[300, 331]"
309,"[400, 700]","[400, 401, 700, 709]"
310,[1200],"[1200, 1207]"
311,[1900],"[1900, 1926]"
312,"[100, 1300]","[100, 105, 1300, 1303]"
313,"[1300, 100]","[100, 105, 1300]"
314,[100],"[100, 107]"
315,"[600, 1400]","[600, 601, 1400, 1401]"
316,[100],"[100, 105, 107]"
317,[200],"[200, 230]"
318,[300],"[300, 325, 331]"
319,[],[]
320,[100],"[100, 105]"
321,[1900],"[1900, 1910]"
322,"[100, 1300, 500]","[100, 105, 500, 502, 1300, 1303]"
323,"[100, 1300]","[100, 103, 1300, 1302]"
324,[],[]
325,"[300, 500]","[300, 325, 500, 504]"
326,[1600],"[1600, 1610]"
327,"[300, 500]","[300, 331, 500, 504]"
328,[100],"[100, 105]"
329,[],[]
330,"[100, 300]","[100, 105, 300, 325]"
331,"[100, 1400]","[100, 105, 1400, 1401]"
332,[500],"[500, 504]"
333,[],[]
334,[],[]
335,[200],"[200, 230]"
336,[100],"[100, 105]"
337,[],[]
338,[1200],"[1200, 1205]"
339,"[100, 300]","[100, 105, 300, 301]"
340,"[100, 1200]","[100, 104, 1200, 1202]"
341,[200],"[200, 230]"
342,"[100, 1300]","[100, 105, 1300, 1303]"
343,"[100, 1400]","[100, 105, 1400, 1401]"
351,[800],"[800, 801, 806]"
361,"[1600, 1300]","[1300, 1303, 1600, 1610]"
388,"[100, 700]","[100, 105, 700, 703, 705]"
394,[1600],"[1600, 1610]"
404,[1200],"[1200, 1202, 1205, 1209]"
416,"[1900, 100]","[1000, 1005, 1900]"
429,"[100, 300]","[100, 108, 300, 301]"
432,"[100, 1300]","[100, 300, 301, 1300, 1303]"
447,[100],"[100, 105]"
455,"[1300, 200]","[200, 201, 1300, 1304]"
484,"[1200, 1300]","[1200, 1205, 1300, 1303]"
624,"[1800, 1900]","[1800, 1803, 1900, 1911]"
628,[300],"[300, 331]"
671,"[100, 200]","[100, 105, 200, 201]"
737,[700],"[700, 705]"
748,"[1000, 700]","[700, 701, 1000, 1005]"
998,"[1600, 1400]","[1400, 1401, 1600, 1610]"
1222,"[1200, 300]","[300, 344, 1200, 1203]"
1361,"[100, 200, 700]","[100, 105, 200, 201, 700, 705]"
1420,[1200],"[1200, 1202, 1209]"
1426,"[500, 1300]","[500, 506, 1300, 1302]"
1756,[200],"[200, 201]"
2601,"[1900, 400]","[400, 408, 1900, 1910]"
3070,[],[]
3356,"[100, 200]","[100, 105, 200, 201]"
